,mud,rho,l_r,l_f,-2l_r,-2l_f,-2(l_r-l_f),pval
1,0.4,-0.8,-39.1818585,-28.14012488,78.363717,56.28024976,22.08346723,2.61E-06
2,0.4,-0.7,-39.23204071,-31.61224089,78.46408142,63.22448178,15.23959964,9.47E-05
3,0.4,-0.6,-39.23322622,-33.65032839,78.46645243,67.30065679,11.16579564,0.000833192
4,0.4,-0.5,-39.16744241,-34.87863478,78.33488481,69.75726957,8.577615244,0.003403208
5,0.4,-0.4,-39.29135075,-35.91647042,78.58270151,71.83294083,6.749760673,0.009376026
6,0.4,-0.3,-39.30881433,-36.50780795,78.61762866,73.0156159,5.60201276,0.017939856
7,0.4,-0.2,-39.20625276,-36.94315103,78.41250553,73.88630205,4.526203474,0.033379591
8,0.4,-0.1,-39.18035005,-37.25477891,78.36070011,74.50955782,3.851142287,0.049712123
9,0.4,0,-39.15752862,-37.58975833,78.31505724,75.17951667,3.13554057,0.076602988
10,0.4,0.1,-39.23668525,-37.82200373,78.4733705,75.64400746,2.829363037,0.092555062
11,0.4,0.2,-39.18043968,-38.07704566,78.36087935,76.15409132,2.206788035,0.137404493
12,0.4,0.3,-39.246408,-38.25941678,78.492816,76.51883357,1.973982431,0.160025783
13,0.4,0.4,-39.14445911,-38.27935977,78.28891822,76.55871954,1.730198679,0.188385526
14,0.4,0.5,-39.18470288,-38.39708582,78.36940577,76.79417165,1.575234118,0.209448518
15,0.4,0.6,-39.29950481,-38.65549394,78.59900962,77.31098788,1.288021738,0.256412839
16,0.4,0.7,-39.23920333,-38.69332361,78.47840666,77.38664721,1.091759451,0.2960817
17,0.4,0.8,-39.16821259,-38.62340088,78.33642518,77.24680177,1.089623407,0.296554665
18,0.45,-0.8,-39.23842445,-26.9204047,78.47684889,53.8408094,24.63603949,6.92E-07
19,0.45,-0.7,-39.25229065,-30.74429252,78.5045813,61.48858504,17.01599626,3.71E-05
20,0.45,-0.6,-39.10129306,-32.87690462,78.20258612,65.75380923,12.44877689,0.000418266
21,0.45,-0.5,-39.43254393,-34.48744562,78.86508785,68.97489124,9.890196608,0.001661616
22,0.45,-0.4,-39.20254292,-35.3099964,78.40508584,70.6199928,7.785093035,0.005267908
23,0.45,-0.3,-39.17879165,-35.91410641,78.3575833,71.82821282,6.529370481,0.01061075
24,0.45,-0.2,-39.19469731,-36.35246421,78.38939462,72.70492843,5.684466198,0.017115746
25,0.45,-0.1,-39.14903988,-36.83232202,78.29807975,73.66464403,4.633435722,0.031354716
26,0.45,0,-39.06177597,-37.13383578,78.12355195,74.26767157,3.85588038,0.049571905
27,0.45,0.1,-39.05185274,-37.32565276,78.10370547,74.65130552,3.452399953,0.063159998
28,0.45,0.2,-39.30619541,-37.97197236,78.61239082,75.94394471,2.66844611,0.102355914
29,0.45,0.3,-39.21994421,-38.0919201,78.43988842,76.18384019,2.256048224,0.133093307
30,0.45,0.4,-39.13241071,-38.13048636,78.26482143,76.26097272,2.003848705,0.156900376
31,0.45,0.5,-39.16385855,-38.31773772,78.3277171,76.63547544,1.69224166,0.193305732
32,0.45,0.6,-39.18273212,-38.41692855,78.36546424,76.8338571,1.531607144,0.215871401
33,0.45,0.7,-39.1295892,-38.4445027,78.2591784,76.88900539,1.370173013,0.24178216
34,0.45,0.8,-39.27951567,-38.7381811,78.55903134,77.47636221,1.08266913,0.29810122
35,0.5,-0.8,-39.29354543,-25.86641785,78.58709086,51.7328357,26.85425516,2.19E-07
36,0.5,-0.7,-39.21226808,-29.84981864,78.42453615,59.69963729,18.72489887,1.51E-05
37,0.5,-0.6,-39.22804973,-32.26828188,78.45609945,64.53656375,13.9195357,0.000190805
38,0.5,-0.5,-39.16097606,-33.6348311,78.32195212,67.2696622,11.05228991,0.000885777
39,0.5,-0.4,-39.31113634,-34.87106891,78.62227268,69.74213782,8.880134864,0.002882902
40,0.5,-0.3,-39.30048895,-35.52713807,78.60097791,71.05427614,7.546701771,0.006012002
41,0.5,-0.2,-39.19442075,-36.11080965,78.38884151,72.22161931,6.167222196,0.013013879
42,0.5,-0.1,-39.27604376,-36.61208055,78.55208752,73.2241611,5.327926422,0.020986339
43,0.5,0,-39.20171899,-36.91800429,78.40343798,73.83600858,4.567429397,0.032585427
44,0.5,0.1,-39.21825731,-37.35216142,78.43651463,74.70432284,3.732191786,0.053373314
45,0.5,0.2,-39.25390563,-37.63867054,78.50781126,75.27734109,3.230470174,0.072279934
46,0.5,0.3,-39.23525255,-37.68708933,78.4705051,75.37417866,3.096326437,0.078469178
47,0.5,0.4,-39.13833834,-37.86785265,78.27667668,75.73570531,2.540971375,0.110926524
48,0.5,0.5,-39.14027453,-38.01481197,78.28054905,76.02962395,2.250925104,0.133534551
49,0.5,0.6,-39.22404801,-38.24944369,78.44809602,76.49888738,1.949208645,0.162672152
50,0.5,0.7,-39.17301061,-38.28278178,78.34602121,76.56556356,1.780457654,0.182093139
51,0.5,0.8,-39.19159204,-38.4621537,78.38318409,76.92430741,1.458876678,0.227108938
52,0.55,-0.8,-39.22674319,-25.02824519,78.45348637,50.05649038,28.39699599,9.88E-08
53,0.55,-0.7,-39.17034044,-29.16615021,78.34068088,58.33230041,20.00838047,7.71E-06
54,0.55,-0.6,-39.24619604,-31.57371027,78.49239209,63.14742053,15.34497156,8.96E-05
55,0.55,-0.5,-39.26689896,-33.17836845,78.53379793,66.35673691,12.17706102,0.000483808
56,0.55,-0.4,-39.32239848,-34.30113014,78.64479697,68.60226029,10.04253668,0.001529664
57,0.55,-0.3,-39.27653555,-35.09547007,78.5530711,70.19094014,8.362130954,0.00383121
58,0.55,-0.2,-39.19820167,-35.62232856,78.39640335,71.24465711,7.151746232,0.007489103
59,0.55,-0.1,-39.20685639,-36.19599652,78.41371279,72.39199304,6.021719743,0.01413087
60,0.55,0,-39.25365728,-36.64362224,78.50731456,73.28724448,5.220070082,0.022327651
61,0.55,0.1,-39.26086521,-37.01318697,78.52173043,74.02637394,4.495356489,0.033987027
62,0.55,0.2,-39.19782099,-37.11010593,78.39564199,74.22021186,4.175430123,0.041014151
63,0.55,0.3,-39.27256653,-37.48040036,78.54513307,74.96080072,3.584332342,0.05832685
64,0.55,0.4,-39.11408533,-37.60188749,78.22817066,75.20377498,3.024395681,0.082020872
65,0.55,0.5,-39.07765119,-37.67765976,78.15530237,75.35531951,2.799982859,0.094265315
66,0.55,0.6,-39.30798664,-38.10605765,78.61597328,76.2121153,2.403857974,0.121036425
67,0.55,0.7,-39.20343158,-38.18379287,78.40686316,76.36758573,2.039277431,0.153282443
68,0.55,0.8,-39.25170804,-38.23656603,78.50341608,76.47313206,2.030284014,0.15419179
69,0.6,-0.8,-39.19956812,-23.55409356,78.39913624,47.10818713,31.29094912,2.22E-08
70,0.6,-0.7,-39.26412307,-28.29079373,78.52824614,56.58158745,21.94665868,2.80E-06
71,0.6,-0.6,-39.13297312,-30.72586956,78.26594623,61.45173912,16.81420711,4.12E-05
72,0.6,-0.5,-39.10796193,-32.34255935,78.21592386,64.68511869,13.53080516,0.000234679
73,0.6,-0.4,-39.16511395,-33.45179945,78.3302279,66.9035989,11.426629,0.000723989
74,0.6,-0.3,-39.21048582,-34.55051551,78.42097165,69.10103102,9.319940631,0.002266733
75,0.6,-0.2,-39.28463037,-35.45834242,78.56926074,70.91668484,7.652575897,0.005669132
76,0.6,-0.1,-39.04789181,-35.5632966,78.09578362,71.12659319,6.969190424,0.008292501
77,0.6,0,-39.22057992,-36.28844091,78.44115984,72.57688183,5.86427801,0.015451195
78,0.6,0.1,-39.21088192,-36.60814806,78.42176385,73.21629612,5.205467728,0.022515956
79,0.6,0.2,-39.20555732,-36.80571264,78.41111464,73.61142529,4.799689354,0.028464869
80,0.6,0.3,-39.30961116,-37.26480589,78.61922233,74.52961178,4.08961055,0.043147583
81,0.6,0.4,-39.34087742,-37.47523147,78.68175483,74.95046295,3.731291885,0.053402075
82,0.6,0.5,-39.19180521,-37.51751306,78.38361043,75.03502611,3.348584317,0.067262838
83,0.6,0.6,-39.25331062,-37.68010934,78.50662124,75.36021867,3.146402569,0.076094553
84,0.6,0.7,-39.11357465,-37.77465975,78.2271493,75.54931949,2.677829814,0.101754311
85,0.6,0.8,-39.23377009,-37.95288335,78.46754018,75.9057667,2.561773472,0.109475712
86,0.65,-0.8,-39.24010546,-22.63751851,78.48021092,45.27503702,33.2051739,8.29E-09
87,0.65,-0.7,-39.23033715,-27.24772417,78.46067431,54.49544834,23.96522597,9.81E-07
88,0.65,-0.6,-39.24011366,-30.02194317,78.48022732,60.04388634,18.43634098,1.76E-05
89,0.65,-0.5,-39.30881516,-31.92118323,78.61763033,63.84236645,14.77526387,0.000121114
90,0.65,-0.4,-39.16743807,-32.97086682,78.33487614,65.94173363,12.39314251,0.000430913
91,0.65,-0.3,-39.15209858,-33.82970071,78.30419717,67.65940142,10.64479575,0.001103811
92,0.65,-0.2,-39.31747763,-34.84904789,78.63495527,69.69809577,8.936859494,0.002794728
93,0.65,-0.1,-39.26897347,-35.44799863,78.53794695,70.89599727,7.64194968,0.005702625
94,0.65,0,-39.16747399,-35.63373853,78.33494798,71.26747706,7.067470923,0.007849598
95,0.65,0.1,-39.27726741,-36.33585802,78.55453482,72.67171605,5.88281877,0.015289326
96,0.65,0.2,-39.25808454,-36.61651022,78.51616908,73.23302044,5.283148648,0.021532774
97,0.65,0.3,-39.16173902,-36.7552249,78.32347804,73.5104498,4.813028232,0.028245369
98,0.65,0.4,-39.20650059,-37.09146696,78.41300118,74.18293391,4.230067264,0.039713867
99,0.65,0.5,-39.23896721,-37.19868803,78.47793443,74.39737606,4.080558362,0.043379322
100,0.65,0.6,-39.2297297,-37.20339109,78.45945941,74.40678218,4.05267723,0.044101351
101,0.65,0.7,-39.23917292,-37.43131026,78.47834583,74.86262052,3.615725314,0.057235759
102,0.65,0.8,-39.17879745,-37.50277755,78.3575949,75.0055551,3.352039801,0.06712179
